"Number of strophe";"Number of verse";"Word";"Number of word";"Word(s)";"Denotation element(s)";"Joined";"Ignored";
"1";"1";"Then,";"1";"1";"1";"false";"false";
"1";"1";"methought,";"2";"2";"2";"false";"false";
"1";"1";"the";"3";"3";"3";"false";"true";
"1";"1";"air";"4";"4";"3";"false";"false";
"1";"1";"grew";"5";"5";"4";"false";"false";
"1";"1";"denser,";"6";"6";"5";"false";"false";
"1";"1";"perfumed";"7";"7";"6";"false";"false";
"1";"1";"from";"8";"8";"7";"false";"false";
"1";"1";"an";"9";"9";"8";"false";"true";
"1";"1";"unseen";"10";"10";"8";"false";"false";
"1";"1";"censer";"11";"11";"9";"false";"false";
"1";"2";"Swung";"12";"12";"10";"false";"false";
"1";"2";"by";"13";"13";"11";"false";"false";
"1";"2";"seraphim";"14";"14";"12";"false";"false";
"1";"2";"whose";"15";"15";"13";"false";"false";
"1";"2";"foot-falls";"16";"16";"14";"false";"false";
"1";"2";"tinkled";"17";"17";"15";"false";"false";
"1";"2";"on";"18";"18";"16";"false";"false";
"1";"2";"the";"19";"19";"17";"false";"true";
"1";"2";"tufted";"20";"20";"17";"false";"false";
"1";"2";"floor.";"21";"21";"18";"false";"false";
"1";"3";"“Wretch,”";"22";"22";"19";"false";"false";
"1";"3";"I";"23";"23";"20";"false";"false";
"1";"3";"cried,";"24";"24";"21";"false";"false";
"1";"3";"“thy";"25";"25";"22";"false";"false";
"1";"3";"God";"26";"26";"23";"false";"false";
"1";"3";"hath";"27";"27|28";"24";"false";"false";
"1";"3";"lent";"28";"28";"";"true";"false";
"1";"3";"thee";"29";"29";"25";"false";"false";
"1";"3";"—";"30";"30";"28";"false";"true";
"1";"3";"by";"31";"31";"26";"false";"false";
"1";"3";"these";"32";"32";"27";"false";"false";
"1";"3";"angels";"33";"33";"28";"false";"false";
"1";"3";"he";"34";"34";"29";"false";"false";
"1";"3";"hath";"35";"35|36";"30";"false";"false";
"1";"3";"sent";"36";"36";"";"true";"false";
"1";"3";"thee";"37";"37";"31";"false";"false";
"1";"4";"Respite";"38";"38";"32";"false";"false";
"1";"4";"—";"39";"39";"36";"false";"true";
"1";"4";"respite";"40";"40";"33";"false";"false";
"1";"4";"and";"41";"41";"34";"false";"false";
"1";"4";"nepenthe,";"42";"42";"35";"false";"false";
"1";"4";"from";"43";"43";"36";"false";"false";
"1";"4";"thy";"44";"44";"37";"false";"false";
"1";"4";"memories";"45";"45";"38";"false";"false";
"1";"4";"of";"46";"46";"39";"false";"false";
"1";"4";"Lenore;";"47";"47";"40";"false";"false";
"1";"5";"Quaff,";"48";"48";"41";"false";"false";
"1";"5";"oh";"49";"49";"42";"false";"false";
"1";"5";"quaff";"50";"50";"43";"false";"false";
"1";"5";"this";"51";"51";"44";"false";"false";
"1";"5";"kind";"52";"52";"45";"false";"false";
"1";"5";"nepenthe";"53";"53";"46";"false";"false";
"1";"5";"and";"54";"54";"47";"false";"false";
"1";"5";"forget";"55";"55";"48";"false";"false";
"1";"5";"this";"56";"56|57";"49";"false";"false";
"1";"5";"lost";"57";"57";"";"true";"false";
"1";"5";"Lenore!”";"58";"58";"50";"false";"false";
"1";"6";"Quoth";"59";"59";"51";"false";"false";
"1";"6";"the";"60";"60";"56";"false";"true";
"1";"6";"Raven";"61";"61";"52";"false";"false";
"1";"6";"“Nevermore.”";"62";"62";"53";"false";"false";
-------------------------
"Hreb number";"Word number(s) [word number\denotation element\value]";
"1";"[1\1\Then,]";
"2";"[2\2\methought,]|[22\19\“Wretch,”]|[23\20\I]|[24\21\cried,]|[25\22\“thy]|[29\25\thee]|[37\31\thee]|[44\37\thy]|[55\48\forget]";
"3";"[4\3\air]|[5\4\grew]|[6\5\denser,]|[7\6\perfumed]";
"4";"[10\8\unseen]|[11\9\censer]|[12\10\Swung]";
"5";"[8\7\from]|[43\36\from]";
"6";"[13\11\by]|[31\26\by]";
"7";"[14\12\seraphim]|[15\13\whose]|[32\27\these]|[33\28\angels]";
"8";"[16\14\foot-falls]|[17\15\tinkled]";
"9";"[20\17\tufted]|[21\18\floor.]";
"10";"[18\16\on]";
"11";"[26\23\God]|[27\24\hath,lent]|[34\29\he]|[35\30\hath,sent]";
"12";"[38\32\Respite]|[40\33\respite]";
"13";"[41\34\and]|[54\47\and]";
"14";"[42\35\nepenthe,]|[51\44\this]|[52\45\kind]|[53\46\nepenthe]";
"15";"[45\38\memories]|[56\49\this,lost]";
"16";"[46\39\of]";
"17";"[47\40\Lenore;]|[58\50\Lenore!”]";
"18";"[48\41\Quaff,]|[50\43\quaff]";
"19";"[49\42\oh]";
"20";"[59\51\Quoth]|[61\52\Raven]";
"21";"[62\53\“Nevermore.”]";
