"Number of strophe";"Number of verse";"Word";"Number of word";"Word(s)";"Denotation element(s)";"Joined";"Ignored";
"1";"1";"Její";"1";"1";"1";"false";"false";
"1";"1";"hlas";"2";"2";"2";"false";"false";
"1";"1";"to";"3";"3";"3";"false";"false";
"1";"1";"byl!";"4";"4";"4|5";"false";"false";
"1";"1";"—";"5";"5";"6";"false";"true";
"1";"1";"A";"6";"6|7";"6";"false";"false";
"1";"1";"hle,";"7";"7";"";"true";"false";
"1";"1";"tu";"8";"8";"7";"false";"false";
"1";"1";"vzduch";"9";"9";"8";"false";"false";
"1";"1";"pln";"10";"10";"9";"false";"false";
"1";"1";"vůně";"11";"11";"10";"false";"false";
"1";"1";"jako";"12";"12";"11";"false";"false";
"1";"1";"z";"13";"13";"12";"false";"false";
"1";"1";"květů";"14";"14";"13";"false";"false";
"1";"2";"pojednou,";"15";"15";"14";"false";"false";
"1";"2";"snad";"16";"16";"15";"false";"false";
"1";"2";"z";"17";"17";"16";"false";"false";
"1";"2";"jiných";"18";"18";"17";"false";"false";
"1";"2";"světů!?";"19";"19";"18";"false";"false";
"1";"2";"Kouzelně";"20";"20";"19";"false";"false";
"1";"2";"to";"21";"21";"20";"false";"false";
"1";"2";"vonný";"22";"22";"21";"false";"false";
"1";"2";"vzduch!";"23";"23";"22";"false";"false";
"1";"3";"„Blázne,“";"24";"24";"23";"false";"false";
"1";"3";"dím";"25";"25";"24|25";"false";"false";
"1";"3";"a";"26";"26";"26";"false";"false";
"1";"3";"slze";"27";"27";"27";"false";"false";
"1";"3";"roní";"28";"28";"28|29";"false";"false";
"1";"3";"z";"29";"29";"30";"false";"false";
"1";"3";"očí";"30";"30";"31";"false";"false";
"1";"3";"se";"31";"31";"32";"false";"true";
"1";"3";"mi,";"32";"32";"32";"false";"false";
"1";"3";"„touha";"33";"33";"33";"false";"false";
"1";"3";"po";"34";"34";"34";"false";"false";
"1";"3";"ní";"35";"35";"35";"false";"false";
"1";"4";"by";"36";"36";"36";"false";"true";
"1";"4";"tě";"37";"37";"36";"false";"false";
"1";"4";"více";"38";"38";"37";"false";"false";
"1";"4";"nemořila,";"39";"39";"38|39";"false";"false";
"1";"4";"zapomenutí";"40";"40";"40";"false";"false";
"1";"4";"ti";"41";"41";"41";"false";"false";
"1";"4";"bůh";"42";"42";"42";"false";"false";
"1";"5";"sesílá;";"43";"43";"43|44";"false";"false";
"1";"5";"máš";"44";"44|45";"45|46";"false";"false";
"1";"5";"zapomenout,";"45";"45";"";"true";"false";
"1";"5";"tím";"46";"46";"47";"false";"false";
"1";"5";"tě";"47";"47";"48";"false";"false";
"1";"5";"obdařuje";"48";"48";"49|50";"false";"false";
"1";"5";"bůh!“";"49";"49";"51";"false";"false";
"1";"6";"Havran";"50";"50";"52";"false";"false";
"1";"6";"nato:";"51";"51";"53";"false";"false";
"1";"6";"„Nikdy";"52";"52";"54";"false";"false";
"1";"6";"víc.“";"53";"53";"55";"false";"false";
-------------------------
"Spike number";"Word number(s) [word number\denotation element\value]";
"1";"[1\1\Její]|[2\2\hlas]|[3\3\to]|[4\5\[by(l)!]]|[35\35\ní]";
"2";"[4\4\byl!]";
"3";"[6\6\A]";
"4";"[8\7\tu]|[9\8\vzduch]|[10\9\pln]|[20\19\Kouzelně]|[21\20\to]|[22\21\vonný]|[23\22\vzduch!]";
"5";"[11\10\vůně]|[12\11\jako]|[13\12\z]|[14\13\květů]|[15\14\pojednou,]|[16\15\snad]|[17\16\z]";
"6";"[18\17\jiných]|[19\18\světů!?]";
"7";"[24\23\„Blázne,“]";
"8";"[25\25\dí(m)]|[32\32\mi,]|[37\36\tě]|[41\41\ti]|[44\46\má(š),zapomenout,]|[47\48\tě]";
"9";"[25\24\dím]";
"10";"[26\26\a]";
"11";"[27\27\slze]|[28\29\ron(í)]|[29\30\z]";
"12";"[28\28\roní]";
"13";"[30\31\očí]";
"14";"[33\33\„touha]|[34\34\po]|[39\39\nemoři(la,)]";
"15";"[38\37\více]";
"16";"[39\38\nemořila,]";
"17";"[40\40\zapomenutí]|[46\47\tím]|[51\53\nato:]";
"18";"[42\42\bůh]|[43\44\sesíl(á;)]|[48\50\obdařuj(e)]|[49\51\bůh!“]";
"19";"[43\43\sesílá;]";
"20";"[44\45\máš]";
"21";"[48\49\obdařuje]";
"22";"[50\52\Havran]";
"23";"[52\54\„Nikdy]";
"24";"[53\55\víc.“]";
