"Number of strophe";"Number of verse";"Word";"Number of word";"Word(s)";"Denotation element(s)";"Joined";"Ignored";
"1";"1";"Ve";"1";"1";"1";"false";"false";
"1";"1";"vzduchu";"2";"2";"2";"false";"false";
"1";"1";"se";"3";"3";"3";"false";"true";
"1";"1";"vůně";"4";"4";"3";"false";"false";
"1";"1";"chvěla,";"5";"5";"4|5";"false";"false";
"1";"1";"jak";"6";"6";"6";"false";"false";
"1";"1";"by";"7";"7";"7";"false";"true";
"1";"1";"z";"8";"8";"7";"false";"false";
"1";"1";"kaditelnic";"9";"9";"8";"false";"false";
"1";"1";"spěla";"10";"10";"9|10";"false";"false";
"1";"2";"andělů,";"11";"11";"11";"false";"false";
"1";"2";"jichž";"12";"12";"12";"false";"false";
"1";"2";"kroků";"13";"13";"13";"false";"false";
"1";"2";"echo";"14";"14";"14";"false";"false";
"1";"2";"znělo";"15";"15";"15|16";"false";"false";
"1";"2";"chodbou";"16";"16";"17";"false";"false";
"1";"2";"zmírajíc.";"17";"17";"18";"false";"false";
"1";"3";"„Věru,“";"18";"18";"19";"false";"false";
"1";"3";"křiknu,";"19";"19";"20|21";"false";"false";
"1";"3";"„V";"20";"20";"22";"false";"false";
"1";"3";"tvoji";"21";"21";"23";"false";"false";
"1";"3";"těchu";"22";"22";"24";"false";"false";
"1";"3";"anděly";"23";"23";"25";"false";"false";
"1";"3";"bůh";"24";"24";"26";"false";"false";
"1";"3";"seslal";"25";"25";"27|28";"false";"false";
"1";"3";"v";"26";"26";"29";"false";"false";
"1";"3";"spěchu,";"27";"27";"30";"false";"false";
"1";"4";"by";"28";"28";"31";"false";"true";
"1";"4";"tvá";"29";"29";"31";"false";"false";
"1";"4";"duše";"30";"30";"32";"false";"false";
"1";"4";"v";"31";"31";"33";"false";"false";
"1";"4";"moři";"32";"32";"34";"false";"false";
"1";"4";"vzdechů";"33";"33";"35";"false";"false";
"1";"4";"nehynula";"34";"34";"36|37";"false";"false";
"1";"4";"zoufajíc,";"35";"35";"38";"false";"false";
"1";"5";"Leonoru";"36";"36";"39";"false";"false";
"1";"5";"zapomněla";"37";"37";"40|41";"false";"false";
"1";"5";"v";"38";"38";"42";"false";"false";
"1";"5";"moři";"39";"39";"43";"false";"false";
"1";"5";"vzdechů";"40";"40";"44";"false";"false";
"1";"5";"zoufajíc!“";"41";"41";"45";"false";"false";
"1";"5";"—";"42";"42";"46";"false";"true";
"1";"6";"Na";"43";"43";"46";"false";"false";
"1";"6";"to";"44";"44";"47";"false";"false";
"1";"6";"havran:";"45";"45";"48";"false";"false";
"1";"6";"„Nikdy";"46";"46";"49";"false";"false";
"1";"6";"vic!“";"47";"47";"50";"false";"false";
-------------------------
"Spike number";"Word number(s) [word number\denotation element\value]";
"1";"[1\1\Ve]|[20\22\„V]|[26\29\v]|[31\33\v]|[38\42\v]";
"2";"[2\2\vzduchu]";
"3";"[4\3\vůně]|[5\5\[chvě(la),]]|[10\10\spě(la)]";
"4";"[5\4\chvěla,]";
"5";"[6\6\jak]";
"6";"[8\7\z]";
"7";"[9\8\kaditelnic]";
"8";"[10\9\spěla]";
"9";"[11\11\andělů,]|[12\12\jichž]|[23\25\anděly]";
"10";"[13\13\kroků]|[14\14\echo]|[15\16\zně(lo)]|[17\18\zmírajíc.]";
"11";"[15\15\znělo]";
"12";"[16\17\chodbou]";
"13";"[18\19\„Věru,“]";
"14";"[19\21\křikn(u,)]";
"15";"[19\20\křiknu,]";
"16";"[21\23\tvoji]|[29\31\tvá]";
"17";"[22\24\těchu]";
"18";"[24\26\bůh]|[25\28\sesla(l)]";
"19";"[25\27\seslal]";
"20";"[27\30\spěchu,]";
"21";"[30\32\duše]|[34\37\nehynul(a)]|[35\38\zoufajíc,]|[37\41\zapomněl(a)]|[41\45\zoufajíc!“]|[44\47\to]";
"22";"[32\34\moři]|[33\35\vzdechů]|[39\43\moři]|[40\44\vzdechů]";
"23";"[34\36\nehynula]";
"24";"[36\39\Leonoru]";
"25";"[37\40\zapomněla]";
"26";"[43\46\Na]";
"27";"[45\48\havran:]";
"28";"[46\49\„Nikdy]";
"29";"[47\50\vic!“]";
