"Number of strophe";"Number of verse";"Word";"Number of word";"Word(s)";"Denotation element(s)";"Joined";"Ignored";
"1";"1";"Vzduch";"1";"1";"1";"false";"false";
"1";"1";"zdál";"2";"2|3";"2|3";"false";"false";
"1";"1";"se";"3";"3";"";"true";"false";
"1";"1";"mi";"4";"4";"4";"false";"false";
"1";"1";"s";"5";"5";"5";"false";"false";
"1";"1";"vůní";"6";"6";"6";"false";"false";
"1";"1";"stmelen,";"7";"7";"7";"false";"false";
"1";"1";"jak";"8";"8";"8";"false";"false";
"1";"1";"by";"9";"9|10";"9|10";"false";"false";
"1";"1";"stoupal";"10";"10";"";"true";"false";
"1";"1";"z";"11";"11";"11";"false";"false";
"1";"1";"kadidelen";"12";"12";"12";"false";"false";
"1";"2";"andělů,";"13";"13";"13";"false";"false";
"1";"2";"jichž";"14";"14";"14";"false";"false";
"1";"2";"krok";"15";"15";"15";"false";"false";
"1";"2";"zněl";"16";"16";"16|17";"false";"false";
"1";"2";"jizbou";"17";"17";"18";"false";"false";
"1";"2";"–";"18";"18";"19";"false";"true";
"1";"2";"ale";"19";"19";"19";"false";"false";
"1";"2";"jakby";"20";"20";"20";"false";"false";
"1";"2";"odjinud.";"21";"21";"21";"false";"false";
"1";"3";"„Ubožáku";"22";"22";"22";"false";"false";
"1";"3";"bědný,“";"23";"23";"23";"false";"false";
"1";"3";"děl";"24";"24|25";"24|25";"false";"false";
"1";"3";"jsem,";"25";"25";"";"true";"false";
"1";"3";"„Bůh";"26";"26";"26";"false";"false";
"1";"3";"tvůj";"27";"27";"27";"false";"false";
"1";"3";"tobě";"28";"28";"28";"false";"false";
"1";"3";"poslat";"29";"29|30";"29|30";"false";"false";
"1";"3";"chtěl";"30";"30";"";"true";"false";
"1";"3";"jsem";"31";"31";"31";"false";"false";
"1";"4";"po";"32";"32";"32";"false";"false";
"1";"4";"anděli,";"33";"33";"33";"false";"false";
"1";"4";"který";"34";"34";"34";"false";"false";
"1";"4";"spěl";"35";"35";"35|36";"false";"false";
"1";"4";"sem,";"36";"36";"37";"false";"false";
"1";"4";"balzám,";"37";"37";"38";"false";"false";
"1";"4";"jaký";"38";"38";"39";"false";"false";
"1";"4";"ztiší";"39";"39";"40|41";"false";"false";
"1";"4";"rmut.";"40";"40";"42";"false";"false";
"1";"5";"Pij";"41";"41";"43|44";"false";"false";
"1";"5";"ten";"42";"42";"45";"false";"false";
"1";"5";"nápoj";"43";"43";"46";"false";"false";
"1";"5";"zapomnění:";"44";"44";"47";"false";"false";
"1";"5";"po";"45";"45";"48";"false";"false";
"1";"5";"Lenoře";"46";"46";"49";"false";"false";
"1";"5";"ztiš";"47";"47";"50|51";"false";"false";
"1";"5";"svůj";"48";"48";"52";"false";"false";
"1";"5";"rmut!“";"49";"49";"53";"false";"false";
"1";"6";"Havran";"50";"50";"54";"false";"false";
"1";"6";"krákl:";"51";"51";"55|56";"false";"false";
"1";"6";"„Marný";"52";"52";"57";"false";"false";
"1";"6";"blud!“";"53";"53";"58";"false";"false";
-------------------------
"Spike number";"Word number(s) [word number\denotation element\value]";
"1";"[1\1\Vzduch]|[2\3\zdá(l),se]|[7\7\stmelen,]|[9\10\by,stoupa(l)]";
"2";"[2\2\zdál]";
"3";"[4\4\mi]|[22\22\„Ubožáku]|[23\23\bědný,“]|[24\25\dě(l),jsem,]|[27\27\tvůj]|[28\28\tobě]|[41\44\Pi(j)]|[47\51\zti(š)]|[48\52\svůj]";
"4";"[5\5\s]";
"5";"[6\6\vůní]";
"6";"[8\8\jak]";
"7";"[9\9\by]";
"8";"[11\11\z]";
"9";"[12\12\kadidelen]";
"10";"[15\15\krok]|[16\17\zně(l)]|[20\20\jakby]|[21\21\odjinud.]";
"11";"[16\16\zněl]";
"12";"[17\18\jizbou]";
"13";"[19\19\ale]";
"14";"[24\24\děl]";
"15";"[26\26\„Bůh]|[29\30\poslat,chtě(l)]";
"16";"[29\29\poslat]";
"17";"[31\31\jsem]|[36\37\sem,]";
"18";"[32\32\po]|[45\48\po]";
"19";"[13\13\andělů,]|[14\14\jichž]|[33\33\anděli,]|[34\34\který]|[35\36\spě(l)]";
"20";"[35\35\spěl]";
"21";"[37\38\balzám,]|[38\39\jaký]|[39\41\ztiš(í)]|[42\45\ten]|[43\46\nápoj]";
"22";"[39\40\ztiší]|[47\50\ztiš]";
"23";"[40\42\rmut.]|[49\53\rmut!“]";
"24";"[41\43\Pij]";
"25";"[44\47\zapomnění:]";
"26";"[46\49\Lenoře]";
"27";"[50\54\Havran]|[51\56\krák(l):]";
"28";"[51\55\krákl:]";
"29";"[52\57\„Marný]";
"30";"[53\58\blud!“]";
