"Number of strophe";"Number of verse";"Word";"Number of word";"Word(s)";"Denotation element(s)";"Joined";"Ignored";
"1";"1";"Tajemně";"1";"1";"1";"false";"false";
"1";"1";"tu";"2";"2";"2";"false";"false";
"1";"1";"vzduch";"3";"3";"3";"false";"false";
"1";"1";"se";"4";"4|5";"4|5";"false";"false";
"1";"1";"zhustil,";"5";"5";"";"true";"false";
"1";"1";"kadidla";"6";"6";"6";"false";"false";
"1";"1";"proud";"7";"7";"7";"false";"false";
"1";"1";"vonný";"8";"8";"8";"false";"false";
"1";"1";"vústil,";"9";"9";"9|10";"false";"false";
"1";"2";"vhoupán";"10";"10";"11";"false";"false";
"1";"2";"serafy,";"11";"11";"12";"false";"false";
"1";"2";"jichž";"12";"12";"13";"false";"false";
"1";"2";"kroky,";"13";"13";"14";"false";"false";
"1";"2";"zvučící";"14";"14";"15";"false";"false";
"1";"2";"jen,";"15";"15";"16";"false";"false";
"1";"2";"nezřel";"16";"16";"17|18";"false";"false";
"1";"2";"zrak.";"17";"17";"19";"false";"false";
"1";"3";"„Bídný,“";"18";"18";"20";"false";"false";
"1";"3";"vzkřik";"19";"19|20";"21|22";"false";"false";
"1";"3";"jsem,";"20";"20";"";"true";"false";
"1";"3";"„boží";"21";"21";"23";"false";"false";
"1";"3";"sláva";"22";"22";"24";"false";"false";
"1";"3";"nad";"23";"23";"25";"false";"false";
"1";"3";"tebou";"24";"24";"26";"false";"false";
"1";"3";"se";"25";"25|26";"27|28";"false";"false";
"1";"3";"smilovává";"26";"26";"";"true";"false";
"1";"3";"-";"27";"27";"29";"false";"true";
"1";"4";"anděl";"28";"28";"29";"false";"false";
"1";"4";"klid";"29";"29";"30";"false";"false";
"1";"4";"a";"30";"30";"31";"false";"false";
"1";"4";"mír";"31";"31";"32";"false";"false";
"1";"4";"ti";"32";"32";"33";"false";"false";
"1";"4";"dává";"33";"33";"34|35";"false";"false";
"1";"4";"-";"34";"34";"36";"false";"true";
"1";"4";"zapomnění";"35";"35";"36";"false";"false";
"1";"4";"Lory";"36";"36";"37";"false";"false";
"1";"4";"tak!";"37";"37";"38";"false";"false";
"1";"5";"Pij,";"38";"38";"39|40";"false";"false";
"1";"5";"ó";"39";"39";"41";"false";"false";
"1";"5";"pij";"40";"40";"42|43";"false";"false";
"1";"5";"to";"41";"41";"44";"false";"false";
"1";"5";"zapomnění,";"42";"42";"45";"false";"false";
"1";"5";"zhosť";"43";"43|44";"46|47";"false";"false";
"1";"5";"se";"44";"44";"";"true";"false";
"1";"5";"mrtvé";"45";"45";"48";"false";"false";
"1";"5";"Lory";"46";"46";"49";"false";"false";
"1";"5";"tak!“";"47";"47";"50";"false";"false";
"1";"6";"Havran";"48";"48";"51";"false";"false";
"1";"6";"řekl:";"49";"49";"52|53";"false";"false";
"1";"6";"„Nikterak.“";"50";"50";"54";"false";"false";
-------------------------
"Spike number";"Word number(s) [word number\denotation element\value]";
"1";"[1\1\Tajemně]";
"2";"[2\2\tu]";
"3";"[3\3\vzduch]|[4\5\se,zhusti(l),]";
"4";"[4\4\se,zhustil,]";
"5";"[6\6\kadidla]|[7\7\proud]|[8\8\vonný]|[9\10\vústi(l),]|[10\11\vhoupán]";
"6";"[9\9\vústil,]";
"7";"[11\12\serafy,]|[12\13\jichž]";
"8";"[13\14\kroky,]|[14\15\zvučící]";
"9";"[15\16\jen,]";
"10";"[16\18\nezře(l)]|[17\19\zrak.]";
"11";"[16\17\nezřel]";
"12";"[18\20\„Bídný,“]|[19\22\vzkři(k,jsem,)]|[24\26\tebou]|[32\33\ti]|[38\40\Pi(j),]|[40\43\pi(j)]|[43\47\zhos(ť)]";
"13";"[19\21\vzkřik,jsem,]";
"14";"[21\23\„boží]|[22\24\sláva]|[25\28\se,smilová(vá)]";
"15";"[23\25\nad]";
"16";"[25\27\se,smilovává]";
"17";"[28\29\anděl]|[33\35\dáv(á)]";
"18";"[29\30\klid]";
"19";"[30\31\a]";
"20";"[31\32\mír]";
"21";"[33\34\dává]";
"22";"[35\36\zapomnění]|[41\44\to]|[42\45\zapomnění,]";
"23";"[36\37\Lory]|[46\49\Lory]";
"24";"[37\38\tak!]|[47\50\tak!“]";
"25";"[38\39\Pij,]|[40\42\pij]";
"26";"[39\41\ó]";
"27";"[43\46\zhosť,se]";
"28";"[45\48\mrtvé]";
"29";"[48\51\Havran]|[49\53\řek(l):]";
"30";"[49\52\řekl:]";
"31";"[50\54\„Nikterak.“]";
