"Number of strophe";"Number of verse";"Word";"Number of word";"Word(s)";"Denotation element(s)";"Joined";"Ignored";
"1";"1";"Vtom";"1";"1";"1";"false";"false";
"1";"1";"jak";"2";"2";"2";"false";"false";
"1";"1";"by";"3";"3";"3";"false";"true";
"1";"1";"mi";"4";"4";"3";"false";"false";
"1";"1";"vůně";"5";"5";"4";"false";"false";
"1";"1";"vály,";"6";"6";"5|6";"false";"false";
"1";"2";"z";"7";"7";"7";"false";"false";
"1";"2";"kaditelnic";"8";"8";"8";"false";"false";
"1";"2";"vystoupaly";"9";"9";"9|10";"false";"false";
"1";"3";"rozhoupaných";"10";"10";"11";"false";"false";
"1";"3";"serafíny";"11";"11";"12";"false";"false";
"1";"3";"-";"12";"12";"13";"false";"true";
"1";"4";"zlatým";"13";"13";"13";"false";"false";
"1";"4";"zvukem";"14";"14";"14";"false";"false";
"1";"4";"vzduch";"15";"15";"15";"false";"false";
"1";"4";"se";"16";"16|17";"16|17";"false";"false";
"1";"4";"třás.";"17";"17";"";"true";"false";
"1";"5";"„Viz,“";"18";"18";"18|19";"false";"false";
"1";"5";"já";"19";"19";"20";"false";"false";
"1";"5";"děl";"20";"20|21";"21|22";"false";"false";
"1";"5";"si,";"21";"21";"";"true";"false";
"1";"5";"„můj";"22";"22";"23";"false";"false";
"1";"5";"ty";"23";"23";"24";"false";"false";
"1";"5";"světe,";"24";"24";"25";"false";"false";
"1";"6";"Bůh";"25";"25";"26";"false";"false";
"1";"6";"tvůj";"26";"26";"27";"false";"false";
"1";"6";"vysvobodit";"27";"27|28";"28|29";"false";"false";
"1";"6";"chce";"28";"28";"";"true";"false";
"1";"6";"tě,";"29";"29";"30";"false";"false";
"1";"7";"posílá";"30";"30";"31|32";"false";"false";
"1";"7";"ti";"31";"31";"33";"false";"false";
"1";"7";"nápoj";"32";"32";"34";"false";"false";
"1";"7";"z";"33";"33";"35";"false";"false";
"1";"7";"Léthé,";"34";"34";"36";"false";"false";
"1";"8";"už";"35";"35";"37";"false";"false";
"1";"8";"se";"36";"36";"38";"false";"true";
"1";"8";"nepamětí";"37";"37";"38";"false";"false";
"1";"8";"spas!";"38";"38";"39|40";"false";"false";
"1";"9";"Před";"39";"39";"41";"false";"false";
"1";"9";"Jarmilou";"40";"40";"42";"false";"false";
"1";"9";"rvoucí";"41";"41";"43";"false";"false";
"1";"9";"ve";"42";"42";"44";"false";"false";
"1";"9";"zmar";"43";"43";"45";"false";"false";
"1";"10";"nápojem";"44";"44";"46";"false";"false";
"1";"10";"se";"45";"45";"47";"false";"true";
"1";"10";"z";"46";"46";"47";"false";"false";
"1";"10";"Léthé";"47";"47";"48";"false";"false";
"1";"10";"spas!“";"48";"48";"49|50";"false";"false";
"1";"11";"Krákne";"49";"49";"51|52";"false";"false";
"1";"11";"Havran:";"50";"50";"53";"false";"false";
"1";"11";"„Vrátit";"51";"51";"54";"false";"false";
"1";"11";"čas?“";"52";"52";"55";"false";"false";
-------------------------
"Spike number";"Word number(s) [word number\denotation element\value]";
