"Number of strophe";"Number of verse";"Word";"Number of word";"Word(s)";"Denotation element(s)";"Joined";"Ignored";
"1";"1";"Nenadálý";"1";"1";"1";"false";"false";
"1";"1";"závan";"2";"2";"2";"false";"false";
"1";"1";"vůně";"3";"3";"3";"false";"false";
"1";"1";"vyvstal";"4";"4";"4|5";"false";"false";
"1";"1";"jako";"5";"5";"6";"false";"false";
"1";"1";"z";"6";"6";"7";"false";"false";
"1";"1";"rajské";"7";"7";"8";"false";"false";
"1";"1";"tůně,";"8";"8";"9";"false";"false";
"1";"2";"k";"9";"9";"10";"false";"false";
"1";"2";"mroucímu";"10";"10";"11";"false";"false";
"1";"2";"se";"11";"11";"12";"false";"true";
"1";"2";"světlu";"12";"12";"12";"false";"false";
"1";"2";"táhl";"13";"13";"13|14";"false";"false";
"1";"2";"oblak";"14";"14";"15";"false";"false";
"1";"2";"jemných";"15";"15";"16";"false";"false";
"1";"2";"vonných";"16";"16";"17";"false";"false";
"1";"2";"par:";"17";"17";"18";"false";"false";
"1";"3";"„Ubožáku!";"18";"18";"19";"false";"false";
"1";"3";"V";"19";"19";"20";"false";"false";
"1";"3";"strasti";"20";"20";"21";"false";"false";
"1";"3";"době";"21";"21";"22";"false";"false";
"1";"3";"Bůh";"22";"22";"23";"false";"false";
"1";"3";"sem";"23";"23";"24";"false";"false";
"1";"3";"seslal";"24";"24";"25|26";"false";"false";
"1";"3";"pomoc";"25";"25";"27";"false";"false";
"1";"3";"tobě,";"26";"26";"28";"false";"false";
"1";"4";"klid,";"27";"27";"29";"false";"false";
"1";"4";"jen";"28";"28";"30";"false";"false";
"1";"4";"klid";"29";"29";"31";"false";"false";
"1";"4";"už";"30";"30";"32";"false";"false";
"1";"4";"získej";"31";"31";"33|34";"false";"false";
"1";"4";"sobě,";"32";"32";"35";"false";"false";
"1";"4";"obrať";"33";"33";"36|37";"false";"false";
"1";"4";"zrak";"34";"34";"38";"false";"false";
"1";"4";"svůj";"35";"35";"39";"false";"false";
"1";"4";"na";"36";"36";"40";"false";"false";
"1";"4";"pohár!";"37";"37";"41";"false";"false";
"1";"5";"Chop,";"38";"38";"42|43";"false";"false";
"1";"5";"ó";"39";"39";"44";"false";"false";
"1";"5";"chop";"40";"40";"45|46";"false";"false";
"1";"5";"jej,";"41";"41";"47";"false";"false";
"1";"5";"obrať";"42";"42";"48|49";"false";"false";
"1";"5";"zrak";"43";"43";"50";"false";"false";
"1";"5";"svůj";"44";"44";"51";"false";"false";
"1";"5";"zapomnění";"45";"45";"52";"false";"false";
"1";"5";"na";"46";"46";"53";"false";"false";
"1";"5";"pohár!“";"47";"47";"54";"false";"false";
"1";"6";"Havran";"48";"48";"55";"false";"false";
"1";"6";"krákl:";"49";"49";"56|57";"false";"false";
"1";"6";"„Marnost";"50";"50";"58";"false";"false";
"1";"6";"-";"51";"51";"59";"false";"true";
"1";"6";"zmar.“";"52";"52";"59";"false";"false";
-------------------------
"Spike number";"Word number(s) [word number\denotation element\value]";
"1";"[1\1\Nenadálý]|[2\2\závan]|[15\16\jemných]";
"2";"[3\3\vůně]|[4\5\vyvsta(l)]|[13\14\táh(l)]|[14\15\oblak]|[16\17\vonných]|[17\18\par:]";
"3";"[4\4\vyvstal]";
"4";"[5\6\jako]";
"5";"[6\7\z]";
"6";"[7\8\rajské]|[8\9\tůně,]";
"7";"[9\10\k]";
"8";"[10\11\mroucímu]|[12\12\světlu]";
"9";"[13\13\táhl]";
"10";"[18\19\„Ubožáku!]|[21\22\době]|[26\28\tobě,]|[31\34\získe(j)]|[32\35\sobě,]|[33\37\obra(ť)]|[35\39\svůj]|[38\43\(Chop,)]|[40\46\(chop)]|[42\49\obra(ť)]|[44\51\svůj]";
"11";"[19\20\V]";
"12";"[20\21\strasti]";
"13";"[22\23\Bůh]|[24\26\sesla(l)]";
"14";"[23\24\sem]";
"15";"[24\25\seslal]";
"16";"[25\27\pomoc]";
"17";"[27\29\klid,]|[29\31\klid]";
"18";"[28\30\jen]";
"19";"[30\32\už]";
"20";"[31\33\získej]";
"21";"[33\36\obrať]|[42\48\obrať]";
"22";"[34\38\zrak]|[43\50\zrak]";
"23";"[36\40\na]|[46\53\na]";
"24";"[37\41\pohár!]|[41\47\jej,]|[47\54\pohár!“]";
"25";"[38\42\Chop,]|[40\45\chop]";
"26";"[39\44\ó]";
"27";"[45\52\zapomnění]";
"28";"[48\55\Havran]|[49\57\krák(l):]";
"29";"[49\56\krákl:]";
"30";"[50\58\„Marnost]";
"31";"[52\59\zmar.“]";
