"Number of strophe";"Number of verse";"Word";"Number of word";"Word(s)";"Denotation element(s)";"Joined";"Ignored";
"1";"1";"Nenadálý";"1";"1";"1";"false";"false";
"1";"1";"závan";"2";"2";"2";"false";"false";
"1";"1";"vůně";"3";"3";"3";"false";"false";
"1";"1";"vyvstal";"4";"4";"4|5";"false";"false";
"1";"1";"jako";"5";"5";"6";"false";"false";
"1";"1";"z";"6";"6";"7";"false";"false";
"1";"1";"rajské";"7";"7";"8";"false";"false";
"1";"1";"tůně,";"8";"8";"9";"false";"false";
"1";"2";"ke";"9";"9";"10";"false";"false";
"1";"2";"mroucímu";"10";"10";"11";"false";"false";
"1";"2";"světlu";"11";"11";"12";"false";"false";
"1";"2";"táh";"12";"12|13";"13|14";"false";"false";
"1";"2";"se";"13";"13";"";"true";"false";
"1";"2";"oblak";"14";"14";"15";"false";"false";
"1";"2";"jemných";"15";"15";"16";"false";"false";
"1";"2";"vonných";"16";"16";"17";"false";"false";
"1";"2";"par.";"17";"17";"18";"false";"false";
"1";"3";"„Ubožáku,“";"18";"18";"19";"false";"false";
"1";"3";"pravím";"19";"19";"20|21";"false";"false";
"1";"3";"k";"20";"20";"22";"false";"false";
"1";"3";"sobě,";"21";"21";"23";"false";"false";
"1";"3";"„Bůh";"22";"22";"24";"false";"false";
"1";"3";"sem";"23";"23";"25";"false";"false";
"1";"3";"seslal";"24";"24";"26|27";"false";"false";
"1";"3";"pomoc";"25";"25";"28";"false";"false";
"1";"3";"tobě,";"26";"26";"29";"false";"false";
"1";"4";"abys";"27";"27";"30|31";"false";"false";
"1";"4";"po";"28";"28";"32";"false";"false";
"1";"4";"tak";"29";"29";"33";"false";"false";
"1";"4";"dlouhé";"30";"30";"34";"false";"false";
"1";"4";"době";"31";"31";"35";"false";"false";
"1";"4";"došel";"32";"32";"36";"false";"true";
"1";"4";"klidu,";"33";"33";"36";"false";"false";
"1";"4";"ztlumil";"34";"34";"37|38";"false";"false";
"1";"4";"svár,";"35";"35";"39";"false";"false";
"1";"5";"zbyl";"36";"36|37";"40|41";"false";"false";
"1";"5";"se";"37";"37";"";"true";"false";
"1";"5";"touhy";"38";"38";"42";"false";"false";
"1";"5";"po";"39";"39";"43";"false";"false";
"1";"5";"Lenoře,";"40";"40";"44";"false";"false";
"1";"5";"ztlumil";"41";"41";"45|46";"false";"false";
"1";"5";"svého";"42";"42";"47";"false";"false";
"1";"5";"srdce";"43";"43";"48";"false";"false";
"1";"5";"svár.“";"44";"44";"49";"false";"false";
"1";"6";"Havran";"45";"45";"50";"false";"false";
"1";"6";"krákl:";"46";"46";"51|52";"false";"false";
"1";"6";"„Marnost";"47";"47";"53";"false";"false";
"1";"6";"-";"48";"48";"54";"false";"true";
"1";"6";"zmar.“";"49";"49";"54";"false";"false";
-------------------------
"Spike number";"Word number(s) [word number\denotation element\value]";
"1";"[1\1\Nenadálý]|[2\2\závan]";
"2";"[3\3\vůně]|[4\5\vyvsta(l)]|[12\14\(táh),se]|[14\15\oblak]|[15\16\jemných]|[16\17\vonných]|[17\18\par.]";
"3";"[4\4\vyvstal]";
"4";"[5\6\jako]";
"5";"[6\7\z]";
"6";"[7\8\rajské]|[8\9\tůně,]";
"7";"[9\10\ke]|[20\22\k]";
"8";"[10\11\mroucímu]|[11\12\světlu]";
"9";"[12\13\táh]";
"10";"[18\19\„Ubožáku,“]|[19\21\prav(ím)]|[21\23\sobě,]|[26\29\tobě,]|[27\31\aby(s)]|[34\38\ztlumi(l)]|[36\41\zby(l),se]|[41\46\ztlumi(l)]|[42\47\svého]";
"11";"[19\20\pravím]";
"12";"[22\24\„Bůh]|[24\27\sesla(l)]";
"13";"[23\25\sem]";
"14";"[24\26\seslal]";
"15";"[25\28\pomoc]";
"16";"[27\30\abys]";
"17";"[28\32\po]|[39\43\po]";
"18";"[29\33\tak]";
"19";"[30\34\dlouhé]|[31\35\době]";
"20";"[33\36\klidu,]";
"21";"[34\37\ztlumil]|[41\45\ztlumil]";
"22";"[35\39\svár,]|[44\49\svár.“]";
"23";"[36\40\zbyl]";
"24";"[38\42\touhy]";
"25";"[40\44\Lenoře,]";
"26";"[43\48\srdce]";
"27";"[45\50\Havran]|[46\52\krák(l):]";
"28";"[46\51\krákl:]";
"29";"[47\53\„Marnost]";
"30";"[49\54\zmar.“]";
