"Number of strophe";"Number of verse";"Word";"Number of word";"Word(s)";"Denotation element(s)";"Joined";"Ignored";
"1";"1";"Vzduch";"1";"1";"1";"false";"false";
"1";"1";"v";"2";"2";"2";"false";"false";
"1";"1";"tom";"3";"3";"3";"false";"false";
"1";"1";"zhoustl";"4";"4";"4|5";"false";"false";
"1";"1";"-";"5";"5";"6";"false";"true";
"1";"1";"zdálo";"6";"6|7";"6|7";"false";"false";
"1";"1";"se";"7";"7";"";"true";"false";
"1";"1";"mi";"8";"8";"8";"false";"false";
"1";"1";"-";"9";"9";"9";"false";"true";
"1";"1";"voněl";"10";"10";"9|10";"false";"false";
"1";"1";"kaditelnicemi";"11";"11";"11";"false";"false";
"1";"2";"Kůrů,";"12";"12";"12";"false";"false";
"1";"2";"jejichž";"13";"13";"13";"false";"false";
"1";"2";"krok";"14";"14";"14";"false";"false";
"1";"2";"zněl";"15";"15";"15|16";"false";"false";
"1";"2";"zemí,";"16";"16";"17";"false";"false";
"1";"2";"ač";"17";"17";"18";"false";"false";
"1";"2";"se";"18";"18";"19";"false";"true";
"1";"2";"na";"19";"19";"19";"false";"false";
"1";"2";"ni";"20";"20";"20";"false";"false";
"1";"2";"sotva";"21";"21";"21";"false";"false";
"1";"2";"klad.";"22";"22";"22|23";"false";"false";
"1";"3";"„Bůh";"23";"23";"24";"false";"false";
"1";"3";"ti,“";"24";"24";"25";"false";"false";
"1";"3";"vzdychl";"25";"25|26";"26|27";"false";"false";
"1";"3";"jsem,";"26";"26";"";"true";"false";
"1";"3";"„poslal";"27";"27";"28|29";"false";"false";
"1";"3";"zhůry";"28";"28";"30";"false";"false";
"1";"3";"népenthesu";"29";"29";"31";"false";"false";
"1";"3";"těmi";"30";"30";"32";"false";"false";
"1";"3";"Kůry,";"31";"31";"33";"false";"false";
"1";"4";"pij";"32";"32";"34|35";"false";"false";
"1";"4";"ho,";"33";"33";"36";"false";"false";
"1";"4";"rozptyl";"34";"34";"37|38";"false";"false";
"1";"4";"jím";"35";"35";"39";"false";"false";
"1";"4";"své";"36";"36";"40";"false";"false";
"1";"4";"chmury,";"37";"37";"41";"false";"false";
"1";"4";"nešťastníku,";"38";"38";"42";"false";"false";
"1";"4";"přestaň";"39";"39";"43|44";"false";"false";
"1";"4";"lkát!";"40";"40";"45";"false";"false";
"1";"5";"Pozapomeň";"41";"41";"46|47";"false";"false";
"1";"5";"na";"42";"42";"48";"false";"false";
"1";"5";"Lenoru,";"43";"43";"49";"false";"false";
"1";"5";"přestaň";"44";"44";"50|51";"false";"false";
"1";"5";"věčně";"45";"45";"52";"false";"false";
"1";"5";"nad";"46";"46";"53";"false";"false";
"1";"5";"ní";"47";"47";"54";"false";"false";
"1";"5";"lkát!“";"48";"48";"55";"false";"false";
"1";"6";"Havran";"49";"49";"56";"false";"false";
"1";"6";"krák";"50";"50";"57|58";"false";"false";
"1";"6";"však:";"51";"51";"59";"false";"false";
"1";"6";"„Nikdykrát!“";"52";"52";"60";"false";"false";
-------------------------
"Spike number";"Word number(s) [word number\denotation element\value]";
"1";"[1\1\Vzduch]|[4\5\zhoust(l)]|[10\10\voně(l)]|[22\23\kla(d).]";
"2";"[2\2\v]";
"3";"[3\3\tom]";
"4";"[4\4\zhoustl]|[6\7\zdá(lo),se]";
"5";"[6\6\zdálo]";
"6";"[8\8\mi]|[24\25\ti,“]|[25\27\vzdy(chl),jsem,]|[32\35\pi(j)]|[34\38\rozpty(l)]|[36\40\své]|[38\42\nešťastníku,]|[39\44\přesta(ň)]|[41\47\Pozapom(eň)]|[44\51\přesta(ň)]";
"7";"[10\9\voněl]";
"8";"[11\11\kaditelnicemi]";
"9";"[12\12\Kůrů,]|[13\13\jejichž]|[30\32\těmi]|[31\33\Kůry,]";
"10";"[14\14\krok]|[15\16\zně(l)]";
"11";"[15\15\zněl]";
"12";"[16\17\zemí,]|[20\20\ni]";
"13";"[17\18\ač]";
"14";"[19\19\na]|[42\48\na]";
"15";"[21\21\sotva]";
"16";"[22\22\klad.]";
"17";"[23\24\„Bůh]|[27\29\„posla(l)]";
"18";"[25\26\vzdychl]";
"19";"[27\28\„poslal]";
"20";"[28\30\zhůry]";
"21";"[29\31\népenthesu]|[33\36\ho,]|[35\39\jím]";
"22";"[32\34\pij]";
"23";"[34\37\rozptyl]";
"24";"[37\41\chmury,]";
"25";"[39\43\přestaň]|[40\45\lkát!]|[44\50\přestaň]|[48\55\lkát!“]";
"26";"[41\46\Pozapomeň]";
"27";"[43\49\Lenoru,]|[47\54\ní]";
"28";"[45\52\věčně]";
"29";"[46\53\nad]";
"30";"[49\56\Havran]|[50\58\krá(k)]";
"31";"[50\57\krák]";
"32";"[51\59\však:]";
"33";"[52\60\„Nikdykrát!“]";
