"Number of strophe";"Number of verse";"Word";"Number of word";"Word(s)";"Denotation element(s)";"Joined";"Ignored";
"1";"1";"Pak";"1";"1";"1";"false";"false";
"1";"1";"vzduch";"2";"2";"2";"false";"false";
"1";"1";"zhoust";"3";"3";"3|4";"false";"false";
"1";"1";"a";"4";"4";"5";"false";"false";
"1";"1";"vůně,";"5";"5";"6";"false";"false";
"1";"1";"zdá";"6";"6|7";"7|8";"false";"false";
"1";"1";"se,";"7";"7";"";"true";"false";
"1";"1";"z";"8";"8";"9";"false";"false";
"1";"1";"kadidelnic";"9";"9";"10";"false";"false";
"1";"1";"rozlila";"10";"10|11";"11|12";"false";"false";
"1";"1";"se";"11";"11";"";"true";"false";
"1";"2";"rozhoupaných";"12";"12";"13";"false";"false";
"1";"2";"anděly,";"13";"13";"14";"false";"false";
"1";"2";"jejichž";"14";"14";"15";"false";"false";
"1";"2";"krok";"15";"15";"16";"false";"false";
"1";"2";"se";"16";"16";"17";"false";"true";
"1";"2";"půdy";"17";"17";"17";"false";"false";
"1";"2";"sotva";"18";"18";"18";"false";"false";
"1";"2";"tkne.";"19";"19";"19|20";"false";"false";
"1";"3";"""Ubožáku,";"20";"20";"21";"false";"false";
"1";"3";"bůh";"21";"21";"22";"false";"false";
"1";"3";"ti,""";"22";"22";"23";"false";"false";
"1";"3";"povím,";"23";"23";"24|25";"false";"false";
"1";"3";"""posílá";"24";"24";"26|27";"false";"false";
"1";"3";"po";"25";"25";"28";"false";"false";
"1";"3";"andělovi";"26";"26";"29";"false";"false";
"1";"4";"omamný";"27";"27";"30";"false";"false";
"1";"4";"mok";"28";"28";"31";"false";"false";
"1";"4";"opiový";"29";"29";"32";"false";"false";
"1";"4";"na";"30";"30";"33";"false";"false";
"1";"4";"tvou";"31";"31";"34";"false";"false";
"1";"4";"lásku";"32";"32";"35";"false";"false";
"1";"4";"k";"33";"33";"36";"false";"false";
"1";"4";"Tereze;";"34";"34";"37";"false";"false";
"1";"5";"pij,";"35";"35";"38|39";"false";"false";
"1";"5";"ach";"36";"36";"40";"false";"false";
"1";"5";"pij";"37";"37";"41|42";"false";"false";
"1";"5";"ten";"38";"38";"43";"false";"false";
"1";"5";"nápoj";"39";"39";"44";"false";"false";
"1";"5";"na";"40";"40";"45";"false";"false";
"1";"5";"tvou";"41";"41";"46";"false";"false";
"1";"5";"lichou";"42";"42";"47";"false";"false";
"1";"5";"lásku";"43";"43";"48";"false";"false";
"1";"5";"k";"44";"44";"49";"false";"false";
"1";"5";"Tereze;";"45";"45";"50";"false";"false";
"1";"6";"Havran";"46";"46";"51";"false";"false";
"1";"6";"řekl:";"47";"47";"52|53";"false";"false";
"1";"6";"Marno";"48";"48";"54";"false";"false";
"1";"6";"vše.";"49";"49";"55";"false";"false";
-------------------------
"Spike number";"Word number(s) [word number\denotation element\value]";
"1";"[1\1\Pak]";
"2";"[2\2\vzduch]|[3\4\zhou(st)]";
"3";"[3\3\zhoust]";
"4";"[4\5\a]";
"5";"[5\6\vůně,]|[6\8\zd(á),se,]|[10\12\rozli(la),se]";
"6";"[6\7\zdá]";
"7";"[8\9\z]";
"8";"[9\10\kadidelnic]|[12\13\rozhoupaných]";
"9";"[10\11\rozlila]";
"10";"[13\14\anděly,]|[14\15\jejichž]|[26\29\andělovi]";
"11";"[15\16\krok]|[19\20\tkn(e).]";
"12";"[17\17\půdy]";
"13";"[18\18\sotva]";
"14";"[19\19\tkne.]";
"15";"[20\21\""Ubožáku,]|[22\23\ti,""]|[23\25\poví(m),]|[31\34\tvou]|[35\39\pi(j),]|[37\42\pi(j)]|[41\46\tvou]";
"16";"[21\22\bůh]|[24\27\""posíl(á)]";
"17";"[23\24\povím,]|[47\52\řekl:]";
"18";"[24\26\""posílá]";
"19";"[25\28\po]";
"20";"[27\30\omamný]|[28\31\mok]|[29\32\opiový]|[38\43\ten]|[39\44\nápoj]";
"21";"[30\33\na]|[40\45\na]";
"22";"[32\35\lásku]|[43\48\lásku]";
"23";"[33\36\k]|[44\49\k]";
"24";"[34\37\Tereze;]|[45\50\Tereze;]";
"25";"[35\38\pij,]|[37\41\pij]";
"26";"[36\40\ach]";
"27";"[42\47\lichou]";
"28";"[46\51\Havran]|[47\53\řek(l):]";
"29";"[48\54\Marno]";
"30";"[49\55\vše.]";
